TINDAK SEQUENCE NUMBER,NEGERI,TAHUN,Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PR,PR_CALON,PR_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,KEDAH,2008,UNDI POS,004,LANGKAWI,UNDI POS,UNDI POS,004/UNDI POS,UNDI POS,UNDI POS,0,579,PKR,WAN SALLEH,45,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",462,,,,507,23,49
2,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/01,KUALA TERIANG,SEKOLAH KEBANGSAAN KUALA TERIANG,1,307,PKR,WAN SALLEH,114,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",177,,,,291,16,0
3,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/01,KUALA TERIANG,SEKOLAH KEBANGSAAN KUALA TERIANG,2,335,PKR,WAN SALLEH,130,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",204,,,,334,1,0
4,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/01,KUALA TERIANG,SEKOLAH KEBANGSAAN KUALA TERIANG,3,318,PKR,WAN SALLEH,145,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",168,,,,313,5,0
5,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/02,EWA,SEKOLAH KEBANGSAAN EWA,1,273,PKR,WAN SALLEH,110,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",147,,,,257,16,0
6,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/02,EWA,SEKOLAH KEBANGSAAN EWA,2,333,PKR,WAN SALLEH,152,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",169,,,,321,12,0
7,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/02,EWA,SEKOLAH KEBANGSAAN EWA,3,309,PKR,WAN SALLEH,162,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",144,,,,306,3,0
8,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/03,PADANG LALANG,SEKOLAH KEBANGSAAN PENGHULU AHMAD AYER HANGAT,1,306,PKR,WAN SALLEH,127,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",152,,,,279,27,0
9,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/03,PADANG LALANG,SEKOLAH KEBANGSAAN PENGHULU AHMAD AYER HANGAT,2,545,PKR,WAN SALLEH,261,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",263,,,,524,21,0
10,KEDAH,2008,UNDI BIASA,004,LANGKAWI,01,AYER HANGAT,004/01/03,PADANG LALANG,SEKOLAH KEBANGSAAN PENGHULU AHMAD AYER HANGAT,3,499,PKR,WAN SALLEH,236,UMNO,"DATO' PADUKA HJ
ABU BAKAR TAIB",247,,,,483,16,0
